step      Walk1           Walk2           Walk3           Walk4           Walk5           Walk6           Walk7      
           x1      y1      x2      y2      x3      y3      x4      y4      x5      y5      x6      y6      x7      y7
133    -4.242  22.390  -3.006  -2.653  -0.040  -1.104  -8.358  -4.373  -4.994   1.151   0.373  -5.667  10.023   6.489
134    -4.450  21.412  -2.201  -2.059  -0.553  -0.245  -7.483  -3.888  -5.712   1.847   1.351  -5.878  10.751   5.804
135    -5.447  21.332  -1.406  -1.452  -0.231  -1.192  -6.486  -3.813  -5.965   2.814   1.479  -6.870   9.930   5.234
136    -4.671  20.701  -2.087  -0.720  -1.079  -1.722  -6.010  -4.693  -5.514   1.922   0.927  -6.036  10.635   5.943
137    -3.671  20.683  -2.479   0.200  -0.890  -2.704  -5.036  -4.918  -5.339   2.906   0.239  -6.762  10.436   4.963
138    -4.671  20.660  -3.479   0.162  -0.024  -2.204  -5.493  -4.029  -5.388   1.907  -0.188  -7.666  11.405   4.717
139    -5.373  19.948  -3.316   1.148  -0.961  -2.553  -4.664  -4.589  -5.341   2.906   0.636  -8.232  12.056   5.476
140    -6.297  19.565  -2.759   1.979  -0.157  -1.958  -4.517  -5.578  -6.012   2.165   1.562  -8.609  12.852   6.081
141    -6.479  18.582  -3.335   2.797  -0.427  -0.995  -4.867  -4.641  -5.809   3.144   0.595  -8.352  13.262   6.993
142    -6.691  17.605  -3.694   1.864   0.314  -0.324  -5.607  -3.968  -6.784   3.364   0.781  -9.335  13.957   6.274
143    -6.836  16.615  -4.467   1.229   0.788   0.557  -5.750  -2.979  -7.691   3.786  -0.123  -9.762  13.413   7.113
144    -7.835  16.635  -3.827   1.997   1.697   0.973  -4.821  -3.349  -7.587   2.791   0.731  -9.242  12.612   7.712
145    -8.171  15.693  -4.800   2.229   1.204   0.102  -5.725  -2.922  -6.815   3.427   1.144 -10.153  13.567   8.008
146    -8.992  15.123  -5.467   2.974   1.898  -0.618  -4.876  -2.395  -5.825   3.565   0.147 -10.070  13.963   8.927
147    -9.423  16.025  -4.766   3.687   2.315   0.290  -5.823  -2.714  -5.615   2.587  -0.851 -10.015  14.950   9.087
148   -10.211  15.410  -5.532   3.043   3.313   0.351  -6.644  -3.286  -4.629   2.756  -0.258  -9.211  14.765  10.070
149    -9.228  15.226  -5.170   3.976   4.048   1.029  -7.536  -2.834  -5.379   3.418  -1.125  -9.708  15.676  10.482
150    -9.883  15.982  -4.801   3.046   3.122   0.651  -6.583  -3.138  -6.126   4.082  -2.056 -10.073  15.969   9.526
151    -9.196  15.256  -3.801   3.059   3.820  -0.065  -5.738  -2.604  -5.998   3.091  -1.926 -11.064  16.780  10.112
152   -10.172  15.040  -3.787   4.058   2.825  -0.161  -5.790  -3.603  -6.669   2.350  -1.933 -12.064  15.781  10.156
153    -9.769  15.955  -4.566   3.432   3.045   0.815  -5.567  -2.628  -6.578   1.354  -1.875 -13.062  16.584  10.752
154   -10.768  15.997  -5.480   3.027   2.094   1.127  -5.972  -3.542  -6.139   0.455  -2.610 -12.384  16.867   9.793
155    -9.813  15.699  -4.786   3.746   2.976   0.655  -5.225  -2.877  -6.253  -0.538  -1.767 -11.847  17.668  10.391
156   -10.528  15.000  -3.788   3.810   2.760  -0.322  -4.238  -2.714  -6.892  -1.308  -2.358 -12.654  16.705  10.660
157   -11.203  15.737  -3.180   4.604   2.478   0.638  -5.227  -2.865  -7.804  -1.718  -2.011 -11.716  16.307  11.578
158   -12.037  16.289  -3.817   5.375   3.050   1.458  -5.450  -3.839  -8.633  -2.278  -1.186 -12.280  16.966  10.825
159   -11.906  15.298  -3.170   6.137   2.896   0.470  -5.696  -2.870  -8.939  -1.326  -1.506 -11.333  17.811  10.289
160   -12.361  14.407  -3.821   5.378   3.048  -0.518  -6.464  -3.511  -9.785  -0.793  -1.973 -12.217  18.130   9.342
161   -13.288  14.032  -3.513   6.330   2.256  -1.128  -5.947  -2.655 -10.300  -1.650  -1.599 -13.145  17.911  10.317
162   -12.656  14.806  -2.660   5.807   3.045  -0.514  -6.598  -3.414  -9.680  -2.435  -0.949 -12.385  18.652   9.646
163   -11.704  14.498  -3.556   5.362   3.758   0.187  -6.487  -2.420  -8.873  -3.025  -1.094 -13.375  17.829  10.215
164   -11.505  15.478  -4.464   5.782   2.983   0.820  -6.513  -3.420  -8.953  -4.022  -1.931 -13.921  18.267   9.315
165   -12.158  14.720  -3.755   5.076   1.986   0.895  -5.516  -3.497  -8.562  -3.101  -2.931 -13.921  19.188   8.927
166   -11.203  14.424  -2.757   5.024   1.113   1.383  -6.261  -4.165  -9.311  -2.439  -2.443 -14.794  18.881   7.976
167   -12.095  14.876  -2.122   4.251   0.463   0.623  -7.171  -3.751  -8.681  -1.663  -3.228 -15.413  19.205   8.922
168   -12.884  14.263  -1.490   5.026   1.440   0.840  -7.952  -4.375  -7.684  -1.590  -3.708 -14.535  19.557   9.858
169   -12.767  15.256  -1.931   5.924   1.616  -0.144  -7.490  -5.262  -8.429  -2.257  -4.129 -13.628  18.591   9.598
170   -12.257  16.116  -0.946   6.098   2.100  -1.019  -7.255  -6.234  -7.617  -2.841  -4.046 -12.632  19.579   9.753
171   -11.594  15.367  -0.143   6.693   1.253  -0.488  -7.355  -7.229  -8.329  -3.543  -4.098 -13.630  18.735  10.289
172   -10.595  15.345  -1.063   6.302   0.483   0.151  -6.363  -7.353  -8.179  -2.554  -4.147 -14.629  17.847   9.829
173   -10.940  14.407  -1.749   5.575   1.475   0.274  -5.801  -8.181  -7.208  -2.315  -3.419 -13.944  17.215  10.605
174   -11.058  13.414  -1.933   4.592   0.986   1.146  -4.801  -8.185  -7.891  -1.585  -2.692 -13.257  18.065  11.133
175   -12.006  13.731  -2.532   5.393   1.854   1.642  -4.398  -9.100  -6.974  -1.187  -3.319 -12.479  17.677  10.211
176   -12.479  12.850  -1.581   5.701   0.854   1.661  -3.453  -9.425  -7.868  -1.635  -2.337 -12.291  18.345  10.955
177   -13.025  13.688  -0.582   5.738   1.211   2.595  -3.034 -10.333  -6.916  -1.327  -2.885 -11.454  17.564  11.580
178   -12.223  14.285   0.379   5.462   1.670   1.707  -4.019 -10.505  -6.131  -1.946  -3.810 -11.836  18.527  11.850
179   -12.677  13.394  -0.258   4.691   2.340   2.450  -4.532 -11.364  -7.004  -2.433  -3.987 -10.852  17.640  11.388
180   -12.029  14.155   0.655   5.099   3.251   2.038  -5.218 -12.091  -7.533  -3.282  -4.873 -10.388  18.534  10.938
181   -11.109  13.763   0.087   4.276   3.196   1.039  -4.702 -12.948  -7.486  -2.283  -4.244  -9.610  17.609  10.559
182   -11.982  14.250   1.016   4.647   3.601   1.954  -5.478 -13.579  -7.245  -1.312  -3.256  -9.458  17.662   9.560
183   -11.328  13.494   1.951   4.294   3.263   2.895  -5.581 -14.573  -7.018  -0.338  -4.187  -9.823  16.708   9.859
184   -12.015  12.768   2.741   3.680   4.010   2.230  -5.021 -13.745  -7.563   0.500  -4.257  -8.826  17.466   9.206
185   -12.897  13.241   1.973   3.040   4.849   1.686  -5.476 -12.855  -8.556   0.381  -5.256  -8.877  18.227   8.558
186   -12.745  14.229   1.026   2.719   5.536   0.960  -5.478 -11.855  -7.716  -0.160  -5.103  -7.889  17.918   9.509
187   -12.347  15.146   1.943   3.118   4.647   0.502  -4.496 -11.664  -7.440   0.801  -6.101  -7.947  16.991   9.135
188   -12.406  14.148   1.861   4.114   5.544   0.060  -3.631 -11.163  -7.996   1.633  -5.116  -7.773  16.011   9.334
189   -13.221  14.726   0.862   4.077   5.005  -0.783  -4.595 -11.428  -8.984   1.480  -4.118  -7.709  16.300   8.377
190   -12.265  15.018   1.577   3.379   4.618   0.139  -5.483 -11.888  -9.695   0.777  -3.149  -7.463  15.826   9.257
191   -13.109  14.482   2.434   3.895   5.279  -0.611  -5.501 -10.888 -10.474   0.149  -2.531  -8.249  16.109  10.216
192   -12.780  15.426   2.421   2.895   4.640   0.158  -6.264 -10.243 -11.429  -0.146  -2.383  -7.260  15.256  10.737
193   -12.136  16.192   2.316   3.889   5.639   0.215  -5.471 -10.852 -10.961  -1.030  -1.737  -8.024  14.534  10.045
194   -11.136  16.210   3.158   4.429   6.555   0.616  -4.905 -10.028  -9.971  -1.169  -2.181  -8.920  13.639  10.490
195   -11.983  16.742   2.190   4.177   6.453   1.611  -5.659  -9.370 -10.614  -1.935  -2.836  -8.163  13.362  11.451
196   -12.635  17.500   2.506   5.126   7.095   2.377  -5.235  -8.464 -11.039  -1.030  -3.826  -8.023  12.395  11.196
197   -13.619  17.317   3.221   4.427   8.051   2.672  -4.397  -7.918 -11.691  -1.788  -4.800  -7.799  11.639  10.541
198   -14.572  17.015   2.391   3.868   9.045   2.567  -4.690  -6.962 -12.079  -0.866  -4.391  -6.886  10.879  11.192
199   -15.562  17.157   1.811   4.682  10.013   2.316  -3.813  -7.443 -12.704  -1.647  -3.481  -6.471  10.009  11.684
200   -14.915  16.394   2.254   3.786  10.628   1.527  -2.878  -7.086 -11.755  -1.330  -2.552  -6.840  10.533  10.832
201   -14.786  17.386   2.231   2.786  10.644   2.526  -3.005  -8.078 -12.332  -0.514  -2.183  -5.911  10.462   9.835
202   -15.400  18.175   1.564   2.041  11.574   2.161  -2.047  -7.792 -11.678   0.243  -1.614  -5.088  10.233  10.808
203   -15.693  17.219   2.516   1.735  10.908   1.415  -2.041  -6.792 -10.947   0.925  -0.787  -4.527  10.977  10.141
204   -15.945  18.187   3.102   2.545  10.796   2.408  -2.966  -7.173 -11.594   0.162  -1.111  -3.581  11.527   9.306
205   -15.208  18.862   2.571   3.392  11.687   2.861  -3.568  -6.374 -12.139  -0.676  -2.099  -3.426  12.508   9.502
